gene,BJA5,BJI5,BJN4,BJU2,CCA1,CCI2,CCN1,CCU4,CDA4,CDI2,CDN2,CDU1,CSA2,CSI2,CSN3,CSU3,FZA2,FZI2,FZN1,FZU5,GYA1,GYI1,GYN3,GYU3,GZA3,GZI2,GZN5,GZU4,HEBA3,HEBI2,HEBN3,HEBU4,HFA5,HFI5,HFN2,HFU5,HHHTA3,HHHTI1,HHHTN5,HHHTU2,HZA2,HZI3,HZN4,HZU5,JNA5,JNI4,JNN1,JNU5,KMA2,KMI4,KMN1,KMU1,LZA2,LZI1,LZN5,LZU1,NJA5,NJI4,NJN2,NJU5,NNA4,NNI4,NNN3,NNU2,SHA1,SHI4,SHN4,SHU4,SJZA4,SJZI5,SJZN1,SJZU1,SYA4,SYI1,SYN4,SYU1,TJA3,TJI2,TJN1,TJU1,TYA1,TYI2,TYN3,TYU5,WHA5,WHI3,WHN5,WHU4,WLMQA2,WLMQI4,WLMQN2,WLMQU2,XAA1,XAI3,XAN1,XAU2,XNA3,XNI3,XNN1,XNU2,YCA4,YCI2,YCN3,YCU2,ZZA5,ZZI5,ZZN4,ZZU5
1616230A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.000469794,0,0,0,0,0,0,0
1815179A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95E-05,0,0,0,0,0,0,0,0,0,3.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38E-05,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87E-05,0,2.96E-05,0,0,0,0
1XAT,0,0,0,3.47E-05,0,0,0,8.00E-05,0,0,0,2.38E-05,0,0.000102027,0,0,0.000105853,0,0,3.69E-05,0,0,0,5.03E-05,0,0,0,5.04E-05,0,0,0,3.55E-05,0,0,0,0,0,0.000125383,0,0.000192771,0,5.09E-05,0,0,0,4.01E-05,0,0,0.000130198,0,0,0,4.58E-05,4.78E-05,0,8.77E-05,0,0,0,4.10E-05,9.69E-05,0,0,5.15E-05,0,0,0,0,4.79E-05,0,0,5.07E-05,0,0,3.18E-05,0,0,0,0,0,0,0,0,9.67E-05,4.24E-05,0,3.95E-05,0,3.49E-05,0,0,0,0,0,0,0,4.87E-05,0,0,0,3.39E-05,0,0,3.70E-05,4.83E-05,0,0,0.000176549
A0KQI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46E-05,0,0,0,0,0,0,0,0,0,0,0,7.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85E-05,0,0,0,0.000114459,2.88E-05,0,0,0,0,0,0,0,0,0,0,7.79E-05,0,0,0
A15097.gene.p01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4VLM0,0,0,2.11E-05,0,3.09E-05,0,0,8.93E-05,3.93E-05,0,0,0.000359417,2.21E-05,7.92E-05,0,0,0.000119522,0,0,0.00022533,0,0,0,3.86E-05,0,3.98E-05,0,0.000114633,0,3.02E-05,0,0.000163796,0,0,0,0,8.85E-05,0.000167523,0,0.000259505,0,7.81E-05,0,0.000172576,3.31E-05,0,0,8.82E-05,0.000197347,6.63E-05,4.68E-05,0.000111242,0,3.67E-05,0,0.008522989,0,0,0,3.08E-05,3.68E-05,0,4.41E-05,3.87E-05,0,0,0,0,3.00E-05,0.000178155,0,3.89E-05,0,0,0,0,4.24E-05,0,0,0.000178322,3.09E-05,3.94E-05,0,0.000211547,6.45E-05,2.46E-05,0,0.000115229,8.82E-05,3.26E-05,0,0,0.000149344,0,0,3.71E-05,0.000135475,2.77E-05,0,0,0.000210332,5.24E-05,0,0.000229945,7.72E-05,0.00014832,0,0.000276918
A7FE74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7ZMC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-05
A8A4L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9HXK3,2.10E-05,0,2.07E-05,5.24E-05,3.04E-05,0,0,0.000175398,7.64E-05,6.98E-05,0,0.000169832,1.90E-05,0.000113816,0,3.80E-05,0.000154818,0,0,2.67E-05,0,0,0,0,0,0,0,0.000178021,0,0,0,0.000106084,0,0,0,0,0,0.000482003,0,0.000107163,0,0,0,2.49E-05,6.04E-05,0,0,6.18E-05,0,0,0,3.54E-05,0,0,0,0.000328521,0,0,0,0.000788049,0,0,0,0,4.12E-05,0,0,0,0,0,7.44E-05,7.56E-05,0,0,0,0,0,0,0,2.90E-05,0,0,0,3.43E-05,9.27E-05,0,0.000204979,0,0,0,6.39E-05,0,0,0,0,0,0,0.000496761,0,9.82E-05,0,0,0,7.59E-05,0,5.66E-05,0,0.001404947
A9VRT9,0,0,0,0,0,0,0,0,0,0,9.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA19915,0,0,0,2.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA22075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78E-05,0,0
AAA26700,0,0,0,0,0,0,0,2.95E-05,0,0,0,1.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA26779,0,0,0,0,0,0,0,0,0,0,0,0,2.40E-05,4.24E-05,0,0,4.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-05,3.53E-05,0,0,0,0,0,0,0,0,0,3.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32E-05,0,3.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA27431,0,0,0,0,0,0,0,3.29E-05,0,0,0,1.82E-05,0,0,0,0,4.22E-05,0,0,0.000580674,0,0,0,0,0,0,0,0,0,0,0,0.000370546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32E-05,0,0,0,0,0,0,0,0,0.000141206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26E-05,0,0,0,0,0,0,0,0.002693555
AAA50325,1.80E-05,2.11E-05,0,0,0,3.38E-05,0,0,0,5.24E-05,0,7.80E-06,0,1.78E-05,1.83E-05,0,0,1.94E-05,0,0,0,0,0,1.91E-05,0,0,0,1.84E-05,0,1.47E-05,0,1.32E-05,0,0,0,0,2.28E-05,0,8.14E-05,1.81E-05,0,0,0,0,1.68E-05,3.93E-05,0,2.83E-05,2.91E-05,1.61E-05,0,1.75E-05,0,0,6.47E-05,0,1.95E-05,0,0,1.25E-05,0,2.11E-05,2.14E-05,0,0,0,0,0,7.17E-05,0,7.54E-05,3.82E-05,0,0,0,1.22E-05,0,1.55E-05,0,0,0,0,0,0,6.03E-05,8.41E-05,0,0,1.42E-05,0,1.59E-05,0,0,0,0,0,0,0,0,2.51E-05,0.000192913,3.80E-05,0,1.38E-05,3.48E-05,1.46E-05,2.65E-05,0
AAA67509,0,2.23E-05,0,0,0,3.80E-05,0.000435289,1.63E-05,2.06E-05,0,2.12E-05,1.86E-05,0,0,0.000327913,0,0.000217734,2.18E-05,6.13E-05,2.85E-05,1.53E-05,0,7.57E-05,1.98E-05,0,0,0.000455306,0,0,0,5.28E-05,0,3.43E-05,2.03E-05,0.000366873,0,0,0,0,0,0,0,0.000269901,0,0,0,2.05E-05,1.66E-05,0,1.70E-05,0.000234192,0,0,0,0,0,0,0,2.01E-05,1.28E-05,0,6.53E-05,0.00010504,0,0,0,0.000133048,0,1.81E-05,0.000110225,0,0,0,0,0,6.61E-05,0,0,0.00040888,1.39E-05,0,0,0,0,0,0,0.000320096,2.04E-05,0,0,0,0,0,0,4.18E-05,1.79E-05,0,0,0,0,7.70E-05,1.41E-05,0,0,0,0,0,1.43E-05
