"","sample.id","group","Location","Longitude","Latitude","population.density","CO","MAP","MAT","Aridity.index","NO2","O3","PM2.5","PM10","SO2","pH","HDI","Per.capita.GDP"
"5","BJA5","Cropland","Beijing",116.09,39.63,163.4,0.78,578,12.14,0.41,34.4,97.05,72.07,123.15,8.72,8.24,0.733130455,14415.49593
"10","BJI5","Industry","Beijing",115.92,39.73,460.47,0.74,593,11.83,0.41,28.78,95.78,62.96,112.15,8.78,8.35,0.733130455,14415.49593
"14","BJN4","Forest","Beijing",116.49,40.96,7.1,0.65,478,6.1,0.37,16.24,89.61,37.49,75.11,11.1,7.8,0.733130455,5281.679016
"17","BJU2","Urban","Beijing",116.45,39.91,12599.35,0.71,573,12.48,0.4,36.58,95.98,71.34,120.55,5.12,8.19,0.733130455,14415.49593
"21","CCA1","Cropland","Changchun",125.68,43.94,182.47,0.72,611,4.67,0.55,22.76,93.06,44.8,74.65,10.3,6.43,0.638475361,5501.461205
"27","CCI2","Industry","Changchun",125.12,43.88,337.15,0.69,570,5.01,0.5,24.36,91.09,46.2,78.58,10.68,8.25,0.638475361,5501.461205
"31","CCN1","Forest","Changchun",125.66,43.94,154.7,0.71,613,4.55,0.55,23.16,93.17,44.62,74.2,10.1,5.14,0.638475361,5501.461205
"39","CCU4","Urban","Changchun",125.32,43.87,16592.06,0.74,619,5.73,0.52,35.46,77.82,51.74,94.55,12.78,8.31,0.638475361,5501.461205
"44","CDA4","Cropland","Chengdu",103.89,31.09,547.53,0.79,969,15.62,1.05,24.72,81.26,53.09,82.98,9.86,5.5,0.591147824,7751.822388
"47","CDI2","Industry","Chengdu",104.26,30.86,2696.16,0.81,961,16.45,1.06,36.78,88.45,62.88,101.08,7.86,7.71,0.591147824,7751.822388
"52","CDN2","Forest","Chengdu",103.75,31.22,63.42,0.7,949,12.92,1.12,15.66,77.62,42.19,65.66,10.66,4.84,0.591147824,7751.822388
"56","CDU1","Urban","Chengdu",104.07,30.66,56283.43,0.8,968,16.91,1.04,41.86,86.63,66.83,107.08,6.66,7.4,0.591147824,7751.822388
