,sample.id,count
1,BJA5,4
2,BJI5,2
3,BJN4,2
4,BJU2,4
5,CCA1,9
6,CCI2,1
7,CCN1,1
8,CCU4,11
9,CDA4,5
10,CDI2,3
11,CDN2,0
12,CDU1,18
13,CSA2,1
14,CSI2,1
15,CSN3,7
16,CSU3,4
17,FZA2,6
18,FZI2,3
19,FZN1,3
20,FZU5,16
21,GYA1,5
22,GYI1,3
23,GYN3,0
24,GYU3,4
25,GZA3,5
26,GZI2,5
27,GZN5,5
28,GZU4,17
29,HEBA3,1
30,HEBI2,2
31,HEBN3,7
32,HEBU4,16
33,HFA5,0
34,HFI5,2
35,HFN2,1
36,HFU5,5
37,HHHTA3,1
38,HHHTI1,15
39,HHHTN5,0
40,HHHTU2,3
41,HZA2,1
42,HZI3,0
43,HZN4,0
44,HZU5,2
45,JNA5,7
46,JNI4,1
47,JNN1,1
48,JNU5,3
49,KMA2,7
50,KMI4,5
51,KMN1,6
52,KMU1,7
53,LZA2,3
54,LZI1,2
55,LZN5,0
56,LZU1,12
57,NJA5,2
58,NJI4,5
59,NJN2,1
60,NJU5,10
61,NNA4,0
62,NNI4,1
63,NNN3,1
64,NNU2,3
65,SHA1,7
66,SHI4,3
67,SHN4,2
68,SHU4,1
69,SJZA4,4
70,SJZI5,1
71,SJZN1,3
72,SJZU1,5
73,SYA4,3
74,SYI1,3
75,SYN4,1
76,SYU1,0
77,TJA3,2
78,TJI2,4
79,TJN1,9
80,TJU1,6
81,TYA1,3
82,TYI2,5
83,TYN3,4
84,TYU5,9
85,WHA5,5
86,WHI3,5
87,WHN5,6
88,WHU4,2
89,WLMQA2,3
90,WLMQI4,4
91,WLMQN2,2
92,WLMQU2,4
93,XAA1,1
94,XAI3,1
95,XAN1,3
96,XAU2,1
97,XNA3,3
98,XNI3,5
99,XNN1,1
100,XNU2,11
101,YCA4,11
102,YCI2,7
103,YCN3,8
104,YCU2,11
105,ZZA5,3
106,ZZI5,5
107,ZZN4,2
108,ZZU5,13
