subtype,Type,BJA5 ,BJI5 ,BJN4 ,BJU2 ,CCA1 ,CCI2 ,CCN1 ,CCU4 ,CDA4 ,CDI2 ,CDN2 ,CDU1 ,CSA2 ,CSI2 ,CSN3 ,CSU3 ,FZA2 ,FZI2 ,FZN1 ,FZU5 ,GYA1 ,GYI1 ,GYN3 ,GYU3 ,GZA3 ,GZI2 ,GZN5 ,GZU4 ,HEBA3 ,HEBI2 ,HEBN3 ,HEBU4 ,HFA5 ,HFI5 ,HFN2 ,HFU5 ,HHHTA3 ,HHHTI1 ,HHHTN5 ,HHHTU2 ,HZA2 ,HZI3 ,HZN4 ,HZU5 ,JNA5 ,JNI4 ,JNN1 ,JNU5 ,KMA2 ,KMI4 ,KMN1 ,KMU1 ,LZA2 ,LZI1 ,LZN5 ,LZU1 ,NJA5 ,NJI4 ,NJN2 ,NJU5 ,NNA4 ,NNI4 ,NNN3 ,NNU2 ,SHA1 ,SHI4 ,SHN4 ,SHU4 ,SJZA4 ,SJZI5 ,SJZN1 ,SJZU1 ,SYA4 ,SYI1 ,SYN4 ,SYU1 ,TJA3 ,TJI2 ,TJN1 ,TJU1 ,TYA1 ,TYI2 ,TYN3 ,TYU5 ,WHA5 ,WHI3 ,WHN5 ,WHU4 ,WLMQA2 ,WLMQI4 ,WLMQN2 ,WLMQU2 ,XAA1 ,XAI3 ,XAN1 ,XAU2 ,XNA3,XNI3 ,XNN1 ,XNU2 ,YCA4 ,YCI2 ,YCN3 ,YCU2 ,ZZA5,ZZI5 ,ZZN4 ,ZZU5 
AAC(3)-IIa,Aminoglycoside,0,0,0,0,0,0,0,6.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69E-05,2.75E-05
AAC(3)-IIb,Aminoglycoside,0,0,0,0,0,0,0,0.000163909,0,0,0,3.68E-05,0,0,0,0,0,0,0,5.47E-05,0,4.28E-05,0,3.88E-05,0,0,0,0,0,0,0,8.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92E-05,0,0,0,0,0,0,6.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21E-05,0,0,0,0,0,6.12E-05,0,0,0,0,0,0,0,0,0,3.21E-05,3.37E-05,0,3.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59E-05
AAC(3)-IIc,Aminoglycoside,0,0,0,0,0,0,0,6.12E-05,0,0,0,0,0,0,0,0,0,0,0,5.09E-05,0,0,0,3.73E-05,3.44E-05,0,0,3.59E-05,0,0,0,5.22E-05,0,0,0,0,0,3.27E-05,0,0,0,0,0,0,0,3.91E-05,0,0.000122108,0.000220687,0,0,3.55E-05,0,0,0,6.63E-05,0,0,0,3.04E-05,3.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0,7.61E-05,0,0,6.16E-05,2.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65E-05,0,0,2.69E-05
AAC(3)-IId,Aminoglycoside,0,0,0,5.15E-05,0,0,0,6.12E-05,0,0,0,1.69E-05,0,0,0,0,0,0,0,5.48E-05,0,0,0,0,0,0,0,3.66E-05,0,0,0,0,0,0,0,0,0,3.21E-05,0,0,0,0,0,0,3.33E-05,0,0,0,3.15E-05,0,0,0,0,0,0,0,0,0,0,0,3.63E-05,0,0,0,0,3.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99E-05,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(3)-IIe,Aminoglycoside,0,0,0,0,0,0,0,0.000151045,0,0,0,3.46E-05,0,0,0,0,0,0,3.82E-05,0,0,0,0,0,6.74E-05,3.76E-05,0,6.42E-05,0,0,0,5.32E-05,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0.000115028,8.20E-05,3.07E-05,3.15E-05,0,0,0.000142894,0,7.01E-05,0,5.95E-05,0,0,0,0,0,0.000165687,0,0,0,0,0,0,0,0,0,3.76E-05,0,0,0,0,0,0,0,0.000197668,0,0,0,3.66E-05,3.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39E-05
AAC(3)-IIg,Aminoglycoside,0,0,0,2.68E-05,0,0,0,3.19E-05,0,0,0,1.84E-05,0,0,0,3.98E-05,0,0,0,0.000170046,0,0,0,3.88E-05,0,0,0,0.000149404,0,0,0,0,0,4.06E-05,0,0,0,0,0,0.000112768,0,0,0,0,0,0,0,3.33E-05,3.28E-05,0,0,7.56E-05,0,0,3.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99E-05,0,4.13E-05,0,0,0,3.20E-05,0,0,0,3.96E-05,0,3.58E-05,3.27E-05,5.00E-05,0,0,0,0,0,3.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,0,2.86E-05
AAC(3)-VIa,Aminoglycoside,0,0,0,0,5.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0,0,0,3.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42E-05,2.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102389
AAC(6')-30/AAC(6')-Ib' fusion protein,Aminoglycoside,0,0,0,0,0,0,0,0,0,0,0,7.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT(2'')-Ia,Aminoglycoside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96E-05,0,0,0,0,0,0,0,0,0,0,0,6.95E-05,0,0,0,0,0,0,0,4.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235568
APH(3')-Ia,Aminoglycoside,0.000512846,0,0.000251567,0.000101739,3.44E-05,0,0,6.52E-05,0,0,0.000107821,0.000111752,0.00023101,8.30E-05,0.000121298,0.000167751,0.000210819,8.47E-05,4.41E-05,0.000327679,0.000182765,3.81E-05,0.000110514,0.000248078,7.62E-05,4.25E-05,0,0.000679812,0.000308327,0.000153487,0,0.00043994,6.99E-05,0,0.000351047,0,4.70E-05,0.000108024,9.10E-05,0.00028129,3.94E-05,0.000200249,4.84E-05,0.000113043,7.04E-05,0.000467577,0.000524114,0.000239561,0,0.000137699,0.000143787,0.00011137,0.000155007,7.59E-05,0.00015293,7.35E-05,8.88E-05,0,8.66E-05,0,4.18E-05,0,0,8.42E-05,0,0.000252478,0,0.000174438,7.37E-05,0,0.000372998,3.96E-05,3.56E-05,0.0002137,0.000105769,6.50E-05,0,0.000225849,3.81E-05,0,0.000191902,8.15E-05,0,0,0.000136277,0.000125921,0.000584119,8.76E-05,0.000206282,0,0,0.000582374,3.76E-05,0,8.59E-05,0.000256095,0,0,0.000122263,0,0,0,0,0,7.98E-05,0,6.02E-05,0.000333594
