level1,BJA5,BJI5,BJN4,BJU2,CCA1,CCI2,CCN1,CCU4,CDA4,CDI2,CDN2,CDU1,CSA2,CSI2,CSN3,CSU3,FZA2,FZI2,FZN1,FZU5,GYA1,GYI1,GYN3,GYU3,GZA3,GZI2,GZN5,GZU4,HFA5,HFI5,HFN2,HFU5,HHHTA3,HHHTI1,HHHTN5,HHHTU2,HZA2,HZI3,HZN4,HZU5,JNA5,JNI4,JNN1,JNU5,KMA2,KMI4,KMN1,KMU1,LZA2,LZI1,LZN5,LZU1,HEBA3,HEBI2,HEBN3,HEBU4,NJA5,NJI4,NJN2,NJU5,NNA4,NNI4,NNN3,NNU2,SHA1,SHI4,SHN4,SHU4,SJZA4,SJZI5,SJZN1,SJZU1,SYA4,SYI1,SYN4,SYU1,TJA3,TJI2,TJN1,TJU1,TYA1,TYI2,TYN3,TYU5,WHA5,WHI3,WHN5,WHU4,WLMQA2,WLMQI4,WLMQN2,WLMQU2,XAA1,XAI3,XAN1,XAU2,XNA3,XNI3,XNN1,XNU2,YCA4,YCI2,YCN3,YCU2,ZZA5,ZZI5,ZZN4,ZZU5
10_rep3_2_rep165(pBMB165)_DQ242517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000_tnpA_JQ364968.1,0,0,0,0,0,0,0,0.000695146,0,0,0,1.69E-05,0.000104846,0,0,0,0,0,0,0.002172995,0,0,0,0,0,0,0,0.000785543,0,0,0,0,0,0,0,0.000174708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000824541,0,0,0,0.000248933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39E-05,0,0,0,0,0,0,0,0,0.000420318,2.97E-05,0,0,0.000316408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04E-05,0.002873476
1001_tnpA_FP236842.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002_tnpA_JQ364968.1,0,0,5.32E-05,0,0,0,0,0.002939007,0,0,0,0,0,0,0,0,0,0,0,0.003727021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000468826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001196079,0,0,0,0.000168165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007924414
1004_tnpA_KT779035.1,0,0,1.13E-05,0,0,0,0,0.002822771,0,0,0,0,1.20E-05,0,0,0,0,0,0,0.003279415,0,0,0,0,0,0,0,0.000317423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726019,0,0,0,0.000231817,0,0,0,0,0,0,0,1.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000431324,0,0,0,0.000445496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007133878
1007_IS91_CP017105.1,0.001743946,0.000913603,0.001655624,0.001991365,0.00097519,0.000804068,0.002363204,0.003389867,0.001711172,0.000801618,0.004479883,0.002271339,0.002718601,0.000783892,0.000660208,0.001241175,0.001630326,0.00185732,0.004036616,0.00159929,0.001262347,0.00170026,0.002868763,0.000875311,0.000684446,0.000891207,0.002090789,0.002014647,0.000909336,0.001036734,0.003554151,0.000929837,0.0009437,0.002543782,0.00104957,0.003671045,0.000935823,0.001342193,0.003172598,0.001150471,0.002398623,0.002330456,0.001584827,0.001734355,0.001141646,0.001608926,0.006670551,0.001138905,0.001690809,0.002057088,0.001743733,0.004094965,0.000932182,0.001156813,0.001260492,0.00202474,0.001005335,0.001547775,0.003182263,0.001388601,0.000922556,0.001281878,0.002200573,0.001214273,0.000735145,0.002373117,0.001081744,0.001456077,0.001288928,0.001063305,0.001190763,0.00129796,0.000895037,0.000960457,0.001618054,0.001077067,0.001055384,0.001197766,0.001229837,0.002016341,0.001118807,0.002240559,0.001558691,0.001436826,0.000661251,0.000655588,0.000967086,0.001254394,0.001251341,0.000876709,0.001450118,0.001655645,0.001502519,0.001220683,0.000895866,0.001422705,0.002887599,0.002396928,0.001333688,0.00323265,0.001962884,0.001860572,0.001539004,0.00201319,0.000859843,0.001743941,0.000752117,0.00341442
1008_tnpA_CP002881.1,3.23E-05,0,1.46E-05,0,0,0,0,0,0,0,3.55E-05,7.30E-05,0,0,0,0,0,0,0,0,0,0,0,2.67E-05,0,0,0,2.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,0,7.26E-05,0,0,0,0,8.70E-05,0,0.00032414,0,0,0,7.72E-05,0,0,0,2.36E-05,2.92E-05,0,0,0,2.60E-05,0,0,0,2.51E-05,0,0,0,0,0,0,0,3.32E-05,0,0,2.39E-05,0,0,0,2.81E-05,0,5.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.39E-05,0,0,0,0,0,2.29E-05,0,0,0
1009_tnpA_AY305378.1,0,0,0,0,7.87E-05,0,0,0,0,0,0.000616542,0,0,0,0,0,0,0.000109492,0,0,0.000145596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204234,0,0,0,0,6.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010_tnpA_AJ233397.3,0,0,0,0,0,0.000132838,0,4.92E-05,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39E-05,0,0,0,0,0,0.000143252,0,0,0.000115553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307216,0,0,0,0.000241213,0,0,0,0,0,2.71E-05,0,2.45E-05,0,0,0,0,2.62E-05,0,0,0,0,0,1.93E-05,0,0,0,0,0,0,0,3.41E-05,0,0,0,0,2.93E-05,0,0,4.20E-05,0,0,0,0,0,8.68E-05,0,0,0,0,0,0,0,0,0,0,0
1011_IS91_CP003740.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05,0,0,0,0,0,0,0,0,3.36E-05,0,0,0,0,0,0,0,0,0,0,3.54E-05,0,4.20E-05,0,0,0,0,0,0,0,0,3.43E-05,0,0,0,0,0,0,0,0,0,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,0,0,0,0,0,0,0,4.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,8.70E-05,2.85E-05,0,0,4.02E-05,0,0,0,0,0
