level2,BJA5,BJI5,BJN4,BJU2,CCA1,CCI2,CCN1,CCU4,CDA4,CDI2,CDN2,CDU1,CSA2,CSI2,CSN3,CSU3,FZA2,FZI2,FZN1,FZU5,GYA1,GYI1,GYN3,GYU3,GZA3,GZI2,GZN5,GZU4,HEBA3,HEBI2,HEBN3,HEBU4,HFA5,HFI5,HFN2,HFU5,HHHTA3,HHHTI1,HHHTN5,HHHTU2,HZA2,HZI3,HZN4,HZU5,JNA5,JNI4,JNN1,JNU5,KMA2,KMI4,KMN1,KMU1,LZA2,LZI1,LZN5,LZU1,NJA5,NJI4,NJN2,NJU5,NNA4,NNI4,NNN3,NNU2,SHA1,SHI4,SHN4,SHU4,SJZA4,SJZI5,SJZN1,SJZU1,SYA4,SYI1,SYN4,SYU1,TJA3,TJI2,TJN1,TJU1,TYA1,TYI2,TYN3,TYU5,WHA5,WHI3,WHN5,WHU4,WLMQA2,WLMQI4,WLMQN2,WLMQU2,XAA1,XAI3,XAN1,XAU2,XNA3,XNI3,XNN1,XNU2,YCA4,YCI2,YCN3,YCU2,ZZA5,ZZI5,ZZN4,ZZU5
Adherence,0.071428891,0.060547869,0.062092767,0.070083655,0.098865655,0.067759432,0.0452777,0.122056662,0.064462096,0.070145883,0.042372878,0.124441203,0.110122459,0.064417168,0.069029262,0.081051885,0.111334859,0.061799104,0.052493205,0.11417783,0.05991961,0.071451009,0.039215986,0.081950564,0.069375656,0.072475912,0.051957635,0.12155617,0.055751567,0.060640632,0.055777843,0.113424217,0.048464573,0.076510369,0.040925643,0.065843174,0.069772831,0.137192279,0.059569824,0.090729002,0.042444354,0.065270847,0.052290428,0.06024609,0.074663734,0.07800392,0.05879628,0.078877842,0.10335534,0.111562915,0.048307421,0.07711117,0.058673932,0.06397094,0.059465103,0.171888357,0.057264178,0.084022684,0.053525721,0.088288853,0.047420395,0.067998998,0.053191219,0.077103286,0.068264851,0.072031701,0.050619994,0.067831257,0.068353411,0.068185563,0.061774983,0.080613248,0.054242466,0.06431047,0.05743106,0.065104051,0.06043485,0.069893003,0.04963378,0.087439294,0.067620289,0.09014454,0.062751787,0.109291721,0.10714796,0.075798919,0.053188405,0.06748677,0.054529501,0.061349217,0.050105187,0.066957465,0.081123025,0.062986106,0.052687612,0.072471791,0.06272699,0.071486057,0.04134165,0.08310478,0.086690987,0.073474479,0.053941235,0.079053047,0.081581532,0.075664468,0.057934619,0.124829369
Antimicrobial activity/Competitive advantage,4.18E-05,0.000118982,0.000406985,2.85E-05,0.000198932,0.000248109,0.000414033,0.00052684,0.000171643,0.000158186,6.90E-05,0.000265633,0.000650075,2.99E-05,0.000248753,9.33E-05,0.000296417,0.000102175,0.000177561,0.00029028,0.000192375,8.91E-05,6.80E-05,0.000298125,0.000352313,6.44E-05,5.77E-05,0.001187825,7.63E-05,4.62E-05,0.000228346,0.000367494,6.77E-05,2.99E-05,0.000147509,0.000122346,3.62E-05,0.000122058,0.000213383,0.000276133,0.000136326,2.09E-05,7.20E-05,3.86E-05,0.000157313,0.000180645,8.96E-05,0.000275779,0.000245803,0.00716585,0.00034412,2.64E-05,3.85E-05,9.75E-05,5.61E-05,0.000519697,0.000156106,6.13E-05,0.000143579,0.000306988,0.000195237,0.000219417,7.86E-05,0.000136054,0.000206619,4.99E-05,1.17E-05,5.52E-05,0.000234872,4.19E-05,0.000154412,0.000169596,1.71E-05,4.54E-05,3.53E-05,5.85E-05,3.63E-05,0.000290189,0.000151926,0.000140623,4.81E-05,0.000341096,6.14E-05,0.000279212,0.002484606,0.000410645,0.000651119,0.000119241,6.71E-05,4.93E-05,3.99E-05,0.000211819,0.000154386,0.000189921,7.35E-05,6.65E-05,0.000116295,9.23E-05,2.06E-05,0.000154877,2.35E-05,1.44E-05,5.03E-05,0.000201963,0.00021827,0.000113689,8.83E-05,0.000400409
Biofilm,0.01078561,0.008621523,0.009680264,0.012473782,0.018722904,0.01268204,0.00474464,0.019558198,0.0124536,0.012849981,0.008032104,0.028804425,0.025657348,0.012350493,0.004108193,0.015827365,0.010542128,0.011850811,0.007284898,0.018893501,0.009049405,0.010954391,0.005490612,0.013545165,0.014112442,0.019512541,0.003649322,0.020562388,0.010971188,0.007508634,0.011346421,0.018948205,0.008671426,0.017995131,0.006252377,0.012932109,0.012060254,0.013202604,0.007165905,0.021180842,0.009396024,0.015082678,0.004671137,0.016352291,0.016860734,0.0171151,0.009617183,0.0143012,0.023196688,0.007316864,0.003102249,0.013450209,0.009933155,0.010616989,0.008034616,0.095531959,0.01043151,0.012428284,0.008806867,0.014298684,0.011020791,0.011721468,0.007171627,0.010857868,0.014543897,0.02242189,0.007344934,0.016557734,0.013259539,0.013572717,0.010278767,0.014324314,0.009208581,0.014504427,0.006215352,0.00809861,0.013803812,0.00915754,0.004743813,0.012586848,0.017336737,0.016104981,0.012407399,0.017313755,0.060321862,0.013937727,0.004892642,0.01854446,0.005826203,0.011906729,0.005254233,0.008766799,0.020084588,0.009682191,0.008796642,0.016333422,0.013472946,0.016302246,0.007812639,0.009859392,0.011829737,0.004072242,0.007743058,0.012488156,0.020687858,0.013282745,0.009860807,0.019570866
Effector delivery system,0.022901802,0.019266366,0.026985566,0.023246481,0.049055219,0.019153643,0.015299264,0.060017398,0.032080874,0.02195156,0.018122799,0.062260624,0.073728363,0.018294386,0.061171361,0.027780547,0.065590302,0.024327983,0.01762179,0.048326087,0.034420725,0.017503211,0.015218998,0.024828119,0.028626251,0.026112554,0.027840687,0.060047525,0.024691557,0.015266133,0.024585594,0.050448398,0.026365238,0.025362586,0.017207517,0.018679687,0.022425514,0.048067614,0.013829855,0.034211579,0.020936095,0.021364081,0.021458243,0.022369574,0.032256455,0.028334786,0.02251066,0.025918849,0.036939216,0.1515814,0.0483694,0.020977369,0.01617392,0.018372396,0.01602498,0.13532802,0.019676098,0.027255433,0.019162742,0.037935759,0.022849437,0.024350851,0.024415179,0.029651833,0.02441853,0.025464345,0.021941678,0.021191043,0.024175867,0.023958421,0.020439831,0.031281813,0.019279895,0.019537299,0.019492541,0.022678063,0.018534314,0.023531501,0.022658559,0.024152021,0.025232306,0.037301115,0.023612617,0.02832309,0.066166763,0.023944214,0.036159171,0.025039832,0.014678412,0.020571846,0.012577278,0.022229929,0.030358437,0.017444025,0.017200923,0.022182374,0.02127397,0.026883474,0.01145767,0.027008306,0.020187897,0.010118175,0.019578158,0.020580611,0.038279283,0.030486583,0.022588553,0.045399435
Exoenzyme,0.002612828,0.001943113,0.002901956,0.002434576,0.006442706,0.002235686,0.003212677,0.007351618,0.003385956,0.002382122,0.001308042,0.006771453,0.005551593,0.002194105,0.004468375,0.003879443,0.006354611,0.002020276,0.001881865,0.00659973,0.003026297,0.00289268,0.00158068,0.003626035,0.002901452,0.00218305,0.002339651,0.007855513,0.002840044,0.002217745,0.002720352,0.005631657,0.001944983,0.002286601,0.001819683,0.001907108,0.002434222,0.007196877,0.002233882,0.0036906,0.00148314,0.001602072,0.002021374,0.0017013,0.003315545,0.002605825,0.00261427,0.003009088,0.005279466,0.004766773,0.00238948,0.004051659,0.002078419,0.002490513,0.00168117,0.004979991,0.001778279,0.003846185,0.002727945,0.005631926,0.001343438,0.002820312,0.001865728,0.002705489,0.001905588,0.001923506,0.002023489,0.001621921,0.002551616,0.002436773,0.00265067,0.004188514,0.002430979,0.002289669,0.002235867,0.002645538,0.00186753,0.002954473,0.003079283,0.004014257,0.002089226,0.004736928,0.00264645,0.004766982,0.003361287,0.002646023,0.002973239,0.001678683,0.001439342,0.002366675,0.001381667,0.002819377,0.001866871,0.00150462,0.001462176,0.001749733,0.002097008,0.004537518,0.000857972,0.003650394,0.003994755,0.001351927,0.002847744,0.003078743,0.00322356,0.002961933,0.00213832,0.006887463
Exotoxin,0.000326248,0.000195384,0.000115881,0.000245346,0.000754419,0.00015256,0.000679511,0.000330626,0.000601623,0.000299019,0.000380091,0.00017384,0.000526963,0.00023832,0.00073733,0.00022525,0.000925475,0.000283196,0.000585278,0.000457505,0.000892124,7.08E-05,0.00047313,0.000197905,0.000317418,9.80E-05,0.000941532,0.002779632,0.000318315,9.49E-05,0.000713707,0.000281596,0.00035771,0.000248854,0.000445008,0.000170782,0.000171727,8.30E-05,0.000231638,0.000156401,0.000329293,9.73E-05,0.0009189,0.000151134,0.000308848,0.000296737,0.000276905,0.000268299,0.000271236,0.000209164,0.000577559,0.000201189,0.000176956,7.51E-05,6.96E-05,5.76E-05,8.57E-05,0.000292943,0.000314418,0.000347343,0.000320126,0.000242063,0.000754129,0.000222712,0.000348954,0.000253743,0.000228382,7.25E-05,0.000156791,0.000229358,0.000414743,0.000370063,0.000281329,0.000159688,0.000237355,0.000413664,6.99E-05,9.77E-05,0.000715606,7.98E-05,0.000124894,0.000107047,0.000351896,0.000384676,0.001008036,0.000187456,0.000868004,0.000145499,6.33E-05,9.55E-05,7.95E-05,0.000140518,0.00012065,8.63E-05,7.49E-05,0.000116432,0.0001869,0.000113902,5.01E-05,0.000169912,4.93E-05,5.19E-05,0.000163882,0.000178411,0.000431727,0.000488663,0.000293438,0.000133504
Immune modulation,0.023393588,0.029615471,0.043770479,0.024469432,0.02921057,0.022568133,0.045214625,0.069602482,0.0329471,0.026374862,0.012768047,0.050603875,0.045147602,0.024277221,0.096681765,0.039336963,0.115726572,0.023420173,0.033365103,0.071695875,0.033659637,0.022551037,0.027641225,0.032873421,0.041941993,0.014208416,0.042665391,0.08912515,0.018076381,0.029346242,0.046719838,0.031967009,0.021045896,0.022894221,0.039223831,0.013226929,0.021198706,0.040860817,0.040362882,0.02979405,0.014386884,0.012196131,0.033551082,0.01006406,0.015775956,0.021038846,0.036023412,0.022573971,0.051884003,0.169271051,0.072391758,0.036380164,0.020859751,0.025050735,0.023909461,0.049416232,0.01734537,0.05335154,0.025649975,0.063367972,0.014131451,0.035809624,0.02588133,0.04019891,0.016841292,0.016111866,0.028914506,0.009231938,0.022803942,0.025668021,0.037059361,0.050813879,0.020397513,0.020641373,0.038128966,0.038441548,0.012793276,0.041424241,0.045404462,0.040684644,0.020013317,0.061503406,0.028465512,0.041165174,0.021552065,0.025924907,0.060890001,0.013997339,0.022227409,0.020466601,0.026845899,0.038417447,0.0169344,0.026232884,0.019033866,0.012891999,0.020349416,0.02588781,0.016969148,0.030914193,0.036554594,0.03495655,0.05014542,0.029695128,0.028848885,0.033206498,0.030143679,0.052302191
Invasion,2.28E-05,0,0,0,0,0,0,1.23E-05,0,0,5.83E-05,8.56E-06,2.48E-05,0,0,0,5.55E-05,0,0,5.60E-05,5.49E-05,4.06E-05,0,0,0,3.62E-05,0,0,1.99E-05,0,0,0,0,0,0,0,2.32E-05,2.03E-05,0,0,0,0,0,0,0,0,0,0,7.10E-05,0,0,2.25E-05,0,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0,3.37E-05,4.27E-05,0.000275099,8.36E-05,0,2.46E-05,4.17E-05,0,0,0,0,0,0,2.15E-05,0,0.000103403,4.54E-05,1.46E-05,0,4.71E-05,0.000103673,0,0,0,0,0,0,0,1.74E-05,0,0,0,0,0,0,2.77E-05,1.73E-05,0,0,0
Motility,0.021280177,0.020456912,0.025894237,0.024432899,0.064932713,0.027704747,0.015719509,0.05346819,0.039349208,0.032696668,0.026715888,0.061503733,0.108199728,0.029510413,0.022583778,0.046008971,0.064012556,0.033484541,0.022403025,0.06010781,0.049597328,0.0228316,0.024181971,0.040819521,0.039994312,0.046809538,0.025652544,0.079000142,0.034153907,0.016880192,0.035471245,0.039132798,0.032949866,0.047950081,0.017218283,0.027278289,0.026948984,0.050778753,0.015628284,0.047155746,0.027703148,0.032483674,0.034118277,0.028639472,0.045680824,0.042353939,0.023105715,0.037891487,0.053210045,0.026060937,0.017445862,0.027976158,0.018654985,0.018853203,0.020784521,0.205654395,0.019691483,0.038596033,0.021433169,0.051141875,0.024131165,0.030678582,0.041584388,0.027783736,0.033529647,0.04027484,0.020550138,0.030221019,0.030414474,0.030990588,0.027545708,0.04238914,0.02737333,0.033710027,0.018946475,0.027570433,0.024130134,0.026261322,0.032458982,0.02604717,0.034405147,0.037534895,0.040435682,0.04093057,0.131949655,0.032911835,0.025304199,0.036106753,0.017815624,0.027103439,0.010866215,0.021191696,0.049616353,0.018093131,0.012965858,0.028270838,0.027390977,0.036478611,0.013756787,0.029924435,0.029227477,0.011805501,0.018509563,0.027523377,0.055394417,0.039254623,0.031539291,0.088834784
Nutritional/Metabolic factor,0.068622112,0.070307433,0.072785152,0.070929481,0.060061465,0.075750996,0.078205411,0.163377828,0.069173104,0.069525566,0.031425945,0.133244655,0.099224534,0.073153719,0.151057861,0.095927853,0.183251848,0.060645349,0.079063237,0.178489178,0.062643323,0.07923381,0.044422955,0.079973343,0.07300327,0.049856868,0.068626044,0.218871256,0.049109413,0.073980669,0.06827705,0.100587934,0.054346988,0.065862619,0.061039746,0.053362471,0.059109919,0.109097778,0.08033595,0.079336206,0.037013376,0.041708318,0.062380145,0.034642269,0.053715772,0.066441605,0.06849865,0.06999295,0.119708393,0.267016869,0.101384491,0.112780949,0.057615861,0.069699525,0.056968076,0.097403316,0.05074141,0.118585082,0.059876314,0.149376541,0.035967436,0.094171768,0.053062408,0.09384114,0.043390355,0.055873135,0.067172705,0.034882627,0.065670159,0.071038521,0.07977417,0.119467724,0.060084943,0.057791112,0.067946374,0.093596278,0.046774367,0.103938889,0.081842339,0.114184488,0.063384469,0.1299781,0.060702313,0.155372887,0.061953854,0.072122065,0.102094478,0.055151708,0.072518929,0.05703903,0.053679481,0.085562803,0.050593203,0.076211204,0.047886031,0.041447673,0.050480391,0.06133112,0.035306823,0.093716411,0.11404282,0.089658038,0.080363582,0.093964101,0.067358689,0.08146535,0.058293878,0.131526802
